row1col1 East
row1col2 West
row1col3 West
row1col4 West
row1col5 West
row1col6 West
row2col1 North
row2col2 West
row2col3 West
row2col4 West
row2col5 West
row2col6 West
row3col1 North
row3col2 West
row3col3 West
row3col4 West
row3col5 West
row3col6 West
row4col1 North
row4col2 North
row4col3 North
row4col4 West
row4col5 West
row4col6 West
row5col1 North
row5col2 North
row5col3 North
row5col4 North
row5col5 North
row5col6 West
row6col1 North
row6col2 North
row6col3 West
row6col4 North
row6col5 North
row6col6 North
