"iteration","state","psi","randomNumber1","randomNumber2","epsilon","a","r","W"
2,"row19col14",0.95,0.131747523708,-1.0,-1,"East",0.0,0.0
3,"row19col15",0.9025,0.58805892806,-1.0,-1,"South",0.0,0.0
4,"row19col15",0.857375,0.522066685665,-1.0,-1,"South",0.0,0.0
5,"row19col15",0.81450625,0.426328919034,-1.0,-1,"South",0.0,0.0
6,"row19col15",0.7737809375,0.00438057691563,-1.0,-1,"South",0.0,0.0
7,"row19col15",0.735091890625,0.236573135284,-1.0,-1,"South",0.0,0.0
8,"row19col15",0.698337296094,0.679968504645,-1.0,-1,"South",0.0,0.0
9,"row19col15",0.663420431289,0.921209777248,0.943312177653,0.301662703906,"East",0.0,0.0
10,"row19col16",0.630249409725,0.753243067608,0.648794161142,0.336579568711,"South",0.0,0.0
11,"row19col16",0.598736939238,0.0867986618729,0.648794161142,0.336579568711,"South",0.0,0.0
12,"row19col16",0.568800092276,0.339694041359,0.648794161142,0.336579568711,"South",0.0,0.0
13,"row19col16",0.540360087663,0.862821755706,0.706173626266,0.431199907724,"East",0.0,0.0
14,"row19col16",0.51334208328,0.745135454833,0.312499786309,0.459639912337,"North",0.0,0.0
15,"row18col16",0.487674979116,0.623089581267,0.887050227165,0.48665791672,"South",0.0,0.0
16,"row19col16",0.46329123016,0.403207104473,0.887050227165,0.48665791672,"South",0.0,0.0
17,"row19col16",0.440126668652,0.457457434107,0.887050227165,0.48665791672,"South",0.0,0.0
18,"row19col16",0.418120335219,0.642991941171,0.429575747404,0.559873331348,"South",0.0,0.0
19,"row19col16",0.397214318458,0.658253758494,0.908673096157,0.581879664781,"South",0.0,0.0
20,"row19col16",0.377353602535,0.331165553384,0.908673096157,0.581879664781,"South",0.0,0.0
21,"row19col16",0.358485922409,0.659818886902,0.968793886512,0.622646397465,"West",0.0,0.0
22,"row19col15",0.340561626288,0.824579253312,0.763430724445,0.641514077591,"East",0.0,0.0
23,"row19col16",0.323533544974,0.984722861093,0.462846967805,0.659438373712,"West",0.0,0.0
24,"row19col15",0.307356867725,0.988944025518,0.00554522059993,0.676466455026,"South",0.0,0.0
25,"row19col15",0.291989024339,0.165760674102,0.00554522059993,0.676466455026,"South",0.0,0.0
26,"row19col15",0.277389573122,0.234801072273,0.00554522059993,0.676466455026,"South",0.0,0.0
27,"row19col15",0.263520094466,0.619584287488,0.93258558153,0.722610426878,"North",0.0,0.0
28,"row18col15",0.250344089742,0.441731930584,0.190599449439,0.736479905534,"West",0.0,0.0
29,"row18col14",0.237826885255,0.486174646873,0.54564153987,0.749655910258,"South",0.0,0.0
30,"row19col14",0.225935540993,0.0430418707338,0.54564153987,0.749655910258,"East",0.0,0.0
31,"row19col15",0.214638763943,0.723269380198,0.570202069978,0.774064459007,"East",0.0,0.0
32,"row19col16",0.203906825746,0.801892266629,0.249738770108,0.785361236057,"South",0.0,0.0
33,"row19col16",0.193711484459,0.899675583236,0.155295135572,0.796093174254,"West",0.0,0.0
34,"row19col15",0.184025910236,0.90805424406,0.452188363771,0.806288515541,"South",0.0,0.0
35,"row19col15",0.174824614724,0.457176391878,0.0906426535182,0.815974089764,"North",0.0,0.0
36,"row18col15",0.166083383988,0.555849332977,0.252551929248,0.825175385276,"West",0.0,0.0
37,"row18col14",0.157779214788,0.962229967381,0.136262038458,0.833916616012,"East",0.0,0.0
38,"row18col15",0.149890254049,0.284649704807,0.209396476229,0.842220785212,"South",0.0,0.0
39,"row19col15",0.142395741346,0.55428284959,0.90442407763,0.850109745951,"South",0.0,0.0
40,"row19col15",0.135275954279,0.865877626083,0.263297149102,0.857604258654,"West",0.0,0.0
41,"row19col14",0.128512156565,0.438085902202,0.927812470874,0.864724045721,"South",0.0,0.0
42,"row19col14",0.122086548737,0.205017397209,0.604841149752,0.871487843435,"North",0.0,0.0
43,"row18col14",0.1159822213,0.146002193342,0.449110991432,0.877913451263,"South",0.0,0.0
44,"row19col14",0.110183110235,0.0469740843826,0.449110991432,0.877913451263,"West",0.0,0.0
45,"row19col13",0.104673954723,0.229759151712,0.040963850082,0.889816889765,"South",0.0,0.0
46,"row19col13",0.0994402569871,0.435883193185,0.15905215634,0.895326045277,"East",0.0,0.0
47,"row19col14",0.0944682441377,0.269134273658,0.203990664487,0.900559743013,"West",0.0,0.0
48,"row19col13",0.0897448319309,0.29065205025,0.86204726615,0.905531755862,"East",0.0,0.0
49,"row19col14",0.0852575903343,0.0096093728155,0.86204726615,0.905531755862,"West",0.0,0.0
50,"row19col13",0.0809947108176,0.171874400507,0.0529726227785,0.914742409666,"East",0.0,0.0
51,"row19col14",0.0769449752767,0.285915646324,0.515851880195,0.919005289182,"East",0.0,0.0
52,"row19col15",0.0730977265129,0.533725679068,0.268968702084,0.923055024723,"West",0.0,0.0
53,"row19col14",0.0694428401872,0.971642224038,0.126814823179,0.926902273487,"South",0.0,0.0
54,"row19col14",0.0659706981779,0.602322987574,0.216393680319,0.930557159813,"West",0.0,0.0
55,"row19col13",0.062672163269,0.324204587625,0.722435171732,0.934029301822,"North",0.0,0.0
56,"row18col13",0.0595385551055,0.596055706088,0.990662646474,0.937327836731,"West",0.0,0.0
57,"row18col13",0.0565616273503,0.914792177472,0.469606922862,0.940461444894,"South",0.0,0.0
58,"row19col13",0.0537335459827,0.186346477551,0.763611040232,0.94343837265,"East",0.0,0.0
59,"row19col14",0.0510468686836,0.998495482914,0.689072716079,0.946266454017,"East",0.0,0.0
60,"row19col15",0.0484945252494,0.435300957015,0.0663365331145,0.948953131316,"East",0.0,0.0
61,"row19col16",0.046069798987,0.36787084574,0.732658132255,0.951505474751,"West",0.0,0.0
62,"row19col15",0.0437663090376,0.0893536783158,0.606020325943,0.953930201013,"South",0.0,0.0
63,"row19col15",0.0415779935857,0.293361921294,0.366529419698,0.956233690962,"South",0.0,0.0
64,"row19col15",0.0394990939064,0.0509683104034,0.583323690256,0.958422006414,"West",0.0,0.0
65,"row19col14",0.0375241392111,0.121200671022,0.565702779845,0.960500906094,"East",0.0,0.0
66,"row19col15",0.0356479322506,0.217633421239,0.851664545634,0.962475860789,"East",0.0,0.0
67,"row19col16",0.033865535638,0.1603392203,0.57803620178,0.964352067749,"East",0.0,0.0
68,"row19col16",0.0321722588561,0.887741530578,0.197003100703,0.966134464362,"West",0.0,0.0
69,"row19col15",0.0305636459133,0.705209204782,0.216988572565,0.967827741144,"East",0.0,0.0
70,"row19col16",0.0290354636177,0.802557131331,0.298459779762,0.969436354087,"West",0.0,0.0
71,"row19col15",0.0275836904368,0.121361011398,0.212003839432,0.970964536382,"North",0.0,0.0
72,"row18col15",0.0262045059149,0.163066868354,0.954445059693,0.972416309563,"East",0.0,0.0
