"iteration","state","psi","randomNumber1","randomNumber2","epsilon","a","r","W"
2,"119",0.95,0.841001842666,-1.0,-1,"4",0.0,0.0
3,"118",0.9025,0.593032452999,-1.0,-1,"4",0.0,0.0
4,"117",0.857375,0.731916391158,-1.0,-1,"1",0.0,0.0
5,"102",0.81450625,0.100036365815,-1.0,-1,"1",0.0,0.0
6,"87",0.7737809375,0.576825455089,-1.0,-1,"4",0.0,0.0
7,"86",0.735091890625,0.0188032112807,-1.0,-1,"4",0.0,0.0
8,"85",0.698337296094,0.48571283919,-1.0,-1,"4",0.0,0.0
9,"84",0.663420431289,0.82062349665,0.731845077477,0.301662703906,"4",0.0,0.0
10,"83",0.630249409725,0.500047450548,0.731845077477,0.301662703906,"4",0.0,0.0
11,"82",0.598736939238,0.370749057716,0.731845077477,0.301662703906,"4",0.0,0.0
12,"81",0.568800092276,0.804630120315,0.644910082694,0.401263060762,"1",0.0,0.0
13,"66",0.540360087663,0.417695214292,0.644910082694,0.401263060762,"4",0.0,0.0
14,"65",0.51334208328,0.739398864012,0.993352126837,0.459639912337,"4",0.0,0.0
15,"64",0.487674979116,0.914827283634,0.921936347953,0.48665791672,"4",0.0,0.0
16,"63",0.46329123016,0.0476534484657,0.921936347953,0.48665791672,"1",0.0,0.0
17,"63",0.440126668652,0.762871090002,0.376965532709,0.53670876984,"4",0.0,0.0
18,"62",0.418120335219,0.981417084317,0.231416086236,0.559873331348,"2",0.0,0.0
19,"77",0.397214318458,0.668946770007,0.0106336250439,0.581879664781,"3",0.0,0.0
20,"77",0.377353602535,0.0800752610869,0.0106336250439,0.581879664781,"1",0.0,0.0
21,"62",0.358485922409,0.323032267011,0.0106336250439,0.581879664781,"1",0.0,0.0
22,"47",0.340561626288,0.708036839921,0.638232429488,0.641514077591,"1",0.0,0.0
23,"32",0.323533544974,0.905231282548,0.979772796567,0.659438373712,"2",0.0,0.0
24,"47",0.307356867725,0.4174385762,0.757041841446,0.676466455026,"1",0.0,0.0
25,"32",0.291989024339,0.276524316236,0.757041841446,0.676466455026,"1",0.0,0.0
26,"32",0.277389573122,0.60880514015,0.946033127746,0.708010975661,"2",0.0,0.0
27,"47",0.263520094466,0.838574071695,0.770009773724,0.722610426878,"2",0.0,0.0
28,"62",0.250344089742,0.808193591931,0.124219898613,0.736479905534,"4",0.0,0.0
29,"62",0.237826885255,0.691143005718,0.820929685122,0.749655910258,"1",0.0,0.0
30,"47",0.225935540993,0.400297892087,0.67905752668,0.762173114745,"2",0.0,0.0
31,"62",0.214638763943,0.518243898648,0.700621721443,0.774064459007,"1",0.0,0.0
32,"47",0.203906825746,0.854872319134,0.0513376568444,0.785361236057,"1",0.0,0.0
33,"47",0.193711484459,0.898853775957,0.338795899037,0.796093174254,"2",0.0,0.0
34,"47",0.184025910236,0.0568246970769,0.338795899037,0.796093174254,"1",0.0,0.0
35,"32",0.174824614724,0.14413947446,0.338795899037,0.796093174254,"1",0.0,0.0
36,"17",0.166083383988,0.921351296243,0.898245849355,0.825175385276,"1",0.0,0.0
37,"2",0.157779214788,0.947520847502,0.796550659998,0.833916616012,"4",1.0,0.157779214788
38,"14",0.95,0.886225030984,-1.0,-1,"4",0.0,0.0
39,"13",0.9025,0.415799585666,-1.0,-1,"2",0.0,0.0
40,"28",0.857375,0.680046091075,-1.0,-1,"4",0.0,0.0
41,"27",0.81450625,0.918581234873,0.0975569593986,0.142625,"1",0.0,0.0
42,"12",0.7737809375,0.756124603858,0.0975569593986,0.142625,"2",0.0,0.0
43,"27",0.735091890625,0.54823324234,0.0975569593986,0.142625,"2",0.0,0.0
44,"42",0.698337296094,0.555696241784,0.0975569593986,0.142625,"4",0.0,0.0
45,"41",0.663420431289,0.353389458851,0.0975569593986,0.142625,"2",0.0,0.0
46,"56",0.630249409725,0.461863843053,0.0975569593986,0.142625,"4",0.0,0.0
47,"55",0.598736939238,0.275640390636,0.0975569593986,0.142625,"4",0.0,0.0
48,"54",0.568800092276,0.758265282526,0.437187290098,0.401263060762,"2",0.0,0.0
49,"69",0.540360087663,0.907256923978,0.554664374674,0.431199907724,"4",0.0,0.0
50,"68",0.51334208328,0.7897908777,0.588322408998,0.459639912337,"3",0.0,0.0
51,"69",0.487674979116,0.85898073213,0.487671305072,0.48665791672,"4",0.0,0.0
52,"68",0.46329123016,0.108384024222,0.487671305072,0.48665791672,"4",0.0,0.0
53,"67",0.440126668652,0.888435979866,0.233385960862,0.53670876984,"4",0.0,0.0
54,"66",0.418120335219,0.654505553264,0.469557458885,0.559873331348,"4",0.0,0.0
