"iteration","state","psi","randomNumber1","randomNumber2","epsilon","a","r","W"
2,"81",0.95,0.586583094224,-1.0,-1,"4",0.0,0.0
3,"80",0.9025,0.203385921672,-1.0,-1,"4",0.0,0.0
4,"80",0.857375,0.308167910002,-1.0,-1,"4",0.0,0.0
5,"79",0.81450625,0.467474480757,-1.0,-1,"1",0.0,0.0
6,"64",0.7737809375,0.00842945711726,-1.0,-1,"4",0.0,0.0
7,"63",0.735091890625,0.228725223345,-1.0,-1,"1",0.0,0.0
8,"48",0.698337296094,0.266621133136,-1.0,-1,"4",0.0,0.0
9,"48",0.663420431289,0.927210728632,0.476931837324,0.301662703906,"2",0.0,0.0
10,"63",0.630249409725,0.387137210861,0.476931837324,0.301662703906,"1",0.0,0.0
11,"48",0.598736939238,0.271476440277,0.476931837324,0.301662703906,"4",0.0,0.0
12,"47",0.568800092276,0.565742384116,0.476931837324,0.301662703906,"1",0.0,0.0
13,"32",0.540360087663,0.748663802434,0.966285819363,0.431199907724,"1",0.0,0.0
14,"17",0.51334208328,0.506142191715,0.966285819363,0.431199907724,"1",0.0,0.0
15,"2",0.487674979116,0.86062786583,0.438928827135,0.48665791672,"2",1.0,0.487674979116
16,"119",0.95,0.834299978599,-1.0,-1,"4",0.0,0.0
17,"119",0.9025,0.719315854986,-1.0,-1,"4",0.0,0.0
18,"118",0.857375,0.781121351866,-1.0,-1,"4",0.0,0.0
19,"117",0.81450625,0.281533009958,-1.0,-1,"1",0.0,0.0
20,"117",0.7737809375,0.656810941658,-1.0,-1,"1",0.0,0.0
21,"117",0.735091890625,0.232002682796,-1.0,-1,"1",0.0,0.0
22,"102",0.698337296094,0.010180499482,-1.0,-1,"1",0.0,0.0
23,"87",0.663420431289,0.0578181578186,-1.0,-1,"4",0.0,0.0
24,"86",0.630249409725,0.00955139513063,-1.0,-1,"4",0.0,0.0
25,"85",0.598736939238,0.554970419224,-1.0,-1,"4",0.0,0.0
26,"84",0.568800092276,0.497930952853,-1.0,-1,"4",0.0,0.0
27,"84",0.540360087663,0.778386486408,0.546001268738,0.431199907724,"1",0.0,0.0
28,"69",0.51334208328,0.15409952013,0.546001268738,0.431199907724,"4",0.0,0.0
29,"68",0.487674979116,0.012313250349,0.546001268738,0.431199907724,"4",0.0,0.0
30,"67",0.46329123016,0.352698744098,0.546001268738,0.431199907724,"4",0.0,0.0
31,"66",0.440126668652,0.0412205001671,0.546001268738,0.431199907724,"4",0.0,0.0
32,"65",0.418120335219,0.0365649659443,0.546001268738,0.431199907724,"4",0.0,0.0
33,"64",0.397214318458,0.992675798669,0.280004030821,0.581879664781,"1",0.0,0.0
34,"49",0.377353602535,0.803642681333,0.0466033139299,0.602785681542,"4",0.0,0.0
35,"49",0.358485922409,0.935649526644,0.28701184719,0.622646397465,"3",0.0,0.0
36,"50",0.340561626288,0.845814383963,0.178088313264,0.641514077591,"3",0.0,0.0
37,"50",0.323533544974,0.315468152194,0.178088313264,0.641514077591,"4",0.0,0.0
38,"49",0.307356867725,0.499372856894,0.642159715185,0.676466455026,"2",0.0,0.0
39,"64",0.291989024339,0.393184721374,0.705350745978,0.692643132275,"2",0.0,0.0
40,"79",0.277389573122,0.546740792627,0.995526085341,0.708010975661,"3",0.0,0.0
41,"80",0.263520094466,0.730785696971,0.855760017342,0.722610426878,"3",0.0,0.0
42,"80",0.250344089742,0.394639085694,0.229710711649,0.736479905534,"4",0.0,0.0
