"iteration","state","psi","randomNumber1","randomNumber2","epsilon","a","r","W"
2,"135",0.95,0.729299816622,-1.0,-1,"4",0.0,0.0
3,"134",0.9025,0.289341643386,-1.0,-1,"4",0.0,0.0
4,"133",0.857375,0.459806091034,-1.0,-1,"1",0.0,0.0
5,"118",0.81450625,0.384975449354,-1.0,-1,"4",0.0,0.0
6,"117",0.7737809375,0.559046902422,-1.0,-1,"1",0.0,0.0
7,"102",0.735091890625,0.200153495063,-1.0,-1,"1",0.0,0.0
8,"87",0.698337296094,0.224952177598,-1.0,-1,"4",0.0,0.0
9,"86",0.663420431289,0.25695196567,-1.0,-1,"4",0.0,0.0
10,"85",0.630249409725,0.166829784948,-1.0,-1,"4",0.0,0.0
11,"84",0.598736939238,0.686524914449,0.372148857895,0.369750590275,"4",0.0,0.0
12,"83",0.568800092276,0.418902269854,0.372148857895,0.369750590275,"4",0.0,0.0
13,"82",0.540360087663,0.618944444358,0.454548230624,0.431199907724,"2",0.0,0.0
14,"82",0.51334208328,0.764108767217,0.913524772091,0.459639912337,"4",0.0,0.0
15,"81",0.487674979116,0.243612430933,0.913524772091,0.459639912337,"4",0.0,0.0
16,"80",0.46329123016,0.314308596902,0.913524772091,0.459639912337,"4",0.0,0.0
17,"79",0.440126668652,0.823492236064,0.469221200762,0.53670876984,"1",0.0,0.0
18,"64",0.418120335219,0.132607334224,0.469221200762,0.53670876984,"4",0.0,0.0
19,"63",0.397214318458,0.934995165283,0.0954200668227,0.581879664781,"1",0.0,0.0
20,"48",0.377353602535,0.815468741669,0.121918546857,0.602785681542,"4",0.0,0.0
21,"47",0.358485922409,0.0743898165312,0.121918546857,0.602785681542,"1",0.0,0.0
22,"32",0.340561626288,0.42043624188,0.534888760809,0.641514077591,"2",0.0,0.0
23,"47",0.323533544974,0.445874955874,0.0769816447831,0.659438373712,"3",0.0,0.0
24,"48",0.307356867725,0.547209580276,0.689857594146,0.676466455026,"4",0.0,0.0
25,"47",0.291989024339,0.629432669178,0.769544980868,0.692643132275,"2",0.0,0.0
26,"62",0.277389573122,0.247460071544,0.769544980868,0.692643132275,"1",0.0,0.0
27,"47",0.263520094466,0.668495713707,0.492744445201,0.722610426878,"4",0.0,0.0
28,"46",0.250344089742,0.148512051955,0.492744445201,0.722610426878,"3",0.0,0.0
29,"47",0.237826885255,0.418886875257,0.954299573993,0.749655910258,"1",0.0,0.0
30,"32",0.225935540993,0.439356792704,0.707544137387,0.762173114745,"1",0.0,0.0
31,"17",0.214638763943,0.65885871726,0.978911389913,0.774064459007,"2",0.0,0.0
32,"32",0.203906825746,0.71851099461,0.02287847527,0.785361236057,"2",0.0,0.0
33,"47",0.193711484459,0.814018340548,0.619576320364,0.796093174254,"3",0.0,0.0
34,"48",0.184025910236,0.0860512481557,0.619576320364,0.796093174254,"4",0.0,0.0
35,"47",0.174824614724,0.728263863926,0.605911980283,0.815974089764,"1",0.0,0.0
36,"32",0.166083383988,0.173921228413,0.605911980283,0.815974089764,"1",0.0,0.0
37,"17",0.157779214788,0.959940753494,0.58425954429,0.833916616012,"2",0.0,0.0
38,"32",0.149890254049,0.0306942329362,0.58425954429,0.833916616012,"1",0.0,0.0
39,"32",0.142395741346,0.229562785611,0.680797401796,0.850109745951,"4",0.0,0.0
40,"31",0.135275954279,0.575349440063,0.873326528462,0.857604258654,"1",0.0,0.0
41,"16",0.128512156565,0.554630637003,0.696160919774,0.864724045721,"3",0.0,0.0
42,"17",0.122086548737,0.0151620049348,0.696160919774,0.864724045721,"1",0.0,0.0
43,"2",0.1159822213,0.605305008163,0.843458861068,0.877913451263,"2",1.0,0.1159822213
44,"77",0.95,0.293826385037,-1.0,-1,"1",0.0,0.0
45,"62",0.9025,0.0183199935678,-1.0,-1,"1",0.0,0.0
46,"47",0.857375,0.180688168506,-1.0,-1,"1",0.0,0.0
47,"32",0.81450625,0.871403390917,0.380817064068,0.142625,"2",0.0,0.0
48,"47",0.7737809375,0.225947618858,0.380817064068,0.142625,"1",0.0,0.0
49,"32",0.735091890625,0.547396142716,0.380817064068,0.142625,"1",0.0,0.0
50,"17",0.698337296094,0.151303507565,0.380817064068,0.142625,"1",0.0,0.0
51,"2",0.663420431289,0.156877386437,0.380817064068,0.142625,"1",1.0,0.663420431289
52,"103",0.95,0.498676564309,-1.0,-1,"2",0.0,0.0
53,"103",0.9025,0.68585459859,-1.0,-1,"2",0.0,0.0
54,"118",0.857375,0.707545805085,-1.0,-1,"4",0.0,0.0
55,"117",0.81450625,0.846214368852,-1.0,-1,"1",0.0,0.0
56,"102",0.7737809375,0.124727022698,-1.0,-1,"3",0.0,0.0
57,"102",0.735091890625,0.0990656428387,-1.0,-1,"1",0.0,0.0
58,"87",0.698337296094,0.420984101024,-1.0,-1,"4",0.0,0.0
59,"86",0.663420431289,0.797158910329,0.830114726868,0.301662703906,"1",0.0,0.0
