"iteration","state","psi","randomNumber1","randomNumber2","epsilon","a","r","W"
2,"row3col11",0.95,0.835688160697,-1.0,-1,"East",0.0,0.0
3,"row3col11",0.9025,0.0242213736691,-1.0,-1,"East",0.0,0.0
4,"row3col11",0.857375,0.844406925033,-1.0,-1,"East",0.0,0.0
5,"row3col11",0.81450625,0.212289566795,-1.0,-1,"East",0.0,0.0
6,"row3col11",0.7737809375,0.71906282007,-1.0,-1,"East",0.0,0.0
7,"row3col11",0.735091890625,0.516187270231,-1.0,-1,"East",0.0,0.0
8,"row3col11",0.698337296094,0.694920481531,-1.0,-1,"East",0.0,0.0
9,"row3col11",0.663420431289,0.639777524944,-1.0,-1,"East",0.0,0.0
10,"row3col11",0.630249409725,0.507193272041,-1.0,-1,"East",0.0,0.0
11,"row3col11",0.598736939238,0.325022324339,-1.0,-1,"East",0.0,0.0
12,"row3col11",0.568800092276,0.0154542845618,-1.0,-1,"East",0.0,0.0
13,"row3col11",0.540360087663,0.0859316987398,-1.0,-1,"East",0.0,0.0
14,"row3col11",0.51334208328,0.974159360863,0.182306374146,0.459639912337,"South",0.0,0.0
15,"row3col11",0.487674979116,0.828326588272,0.12140805234,0.48665791672,"East",0.0,0.0
16,"row3col11",0.46329123016,0.902622161987,0.291571031499,0.512325020884,"North",0.0,0.0
17,"row2col11",0.440126668652,0.140334329887,0.291571031499,0.512325020884,"East",0.0,0.0
18,"row2col11",0.418120335219,0.115880644454,0.291571031499,0.512325020884,"East",0.0,0.0
19,"row2col11",0.397214318458,0.829442110966,0.0663301279277,0.581879664781,"South",0.0,0.0
20,"row3col11",0.377353602535,0.673293384956,0.920702782141,0.602785681542,"East",0.0,0.0
21,"row3col11",0.358485922409,0.890801624169,0.479733044984,0.622646397465,"East",0.0,0.0
22,"row3col11",0.340561626288,0.335600892955,0.479733044984,0.622646397465,"East",0.0,0.0
23,"row3col11",0.323533544974,0.931728579448,0.0656221176608,0.659438373712,"North",0.0,0.0
24,"row2col11",0.307356867725,0.81194731189,0.0818616141714,0.676466455026,"West",0.0,0.0
25,"row2col10",0.291989024339,0.572883458541,0.217146045293,0.692643132275,"West",0.0,0.0
26,"row2col9",0.277389573122,0.865966299409,0.437434825885,0.708010975661,"East",0.0,0.0
27,"row2col10",0.263520094466,0.877505438737,0.452705414574,0.722610426878,"West",0.0,0.0
28,"row2col9",0.250344089742,0.389219695539,0.511707467105,0.736479905534,"West",0.0,0.0
29,"row2col8",0.237826885255,0.395770087271,0.571164043645,0.749655910258,"East",0.0,0.0
30,"row2col9",0.225935540993,0.355101359062,0.58129955665,0.762173114745,"South",0.0,0.0
31,"row3col9",0.214638763943,0.551916562963,0.622650321172,0.774064459007,"South",0.0,0.0
32,"row4col9",0.203906825746,0.798191657697,0.559511013104,0.785361236057,"East",0.0,0.0
33,"row4col9",0.193711484459,0.633677764503,0.270891036282,0.796093174254,"South",0.0,0.0
34,"row5col9",0.184025910236,0.889263712043,0.0105229325434,0.806288515541,"East",0.0,0.0
35,"row5col10",0.174824614724,0.391570052879,0.228819394116,0.815974089764,"West",0.0,0.0
36,"row5col9",0.166083383988,0.0820168871701,0.228819394116,0.815974089764,"West",0.0,0.0
